物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100342021505,60000.0,40000.0,,,,
100341694818,60000.0,40000.0,,,,
100341650906,60000.0,40000.0,,,,
100341688277,60000.0,40000.0,,,,
100341691907,60000.0,40000.0,,,,
100341653616,60000.0,40000.0,,,,
100341690954,60000.0,40000.0,,,,
100341676897,60000.0,40000.0,,,,
100341698399,60000.0,40000.0,,,,
100341698075,60000.0,40000.0,,,,
100341688932,60000.0,40000.0,,,,
100115884355,60000.0,20000.0,,,,
100333890443,60000.0,40000.0,,,,
100345557053,60000.0,40000.0,,,,
100336472061,60000.0,40000.0,,,,
100333693323,60000.0,40000.0,,,,
100333681324,60000.0,40000.0,,,,
100345890845,60000.0,40000.0,,,,
100333706848,60000.0,40000.0,,,,
100339056095,60000.0,40000.0,,,,
100341642797,60000.0,40000.0,,,,
100333866971,60000.0,40000.0,,,,
100334552971,60000.0,40000.0,,,,
100343186590,60000.0,30000.0,,60000.0,,
100334904619,60000.0,40000.0,,,,
100334906404,60000.0,40000.0,,,,
100334906254,60000.0,40000.0,,,,
100334824368,60000.0,40000.0,,,,
100334907369,60000.0,40000.0,,,,
100334906147,60000.0,40000.0,,,,
100334905828,60000.0,40000.0,,,,
100333714963,60000.0,40000.0,,,,
100335011487,60000.0,40000.0,,,,
100334908242,60000.0,40000.0,,,,
100341661311,60000.0,40000.0,,,,
100341661057,60000.0,40000.0,,,,
100332987610,60000.0,40000.0,,,,
100344422300,60000.0,40000.0,,,,
100333101465,60000.0,40000.0,,,,
100344251142,60000.0,40000.0,,,,
100333063416,60000.0,40000.0,,,,
100333025967,60000.0,40000.0,,,,
100273611877,60000.0,50000.0,,60000.0,,
100343765097,60000.0,50000.0,,60000.0,,
100345779685,50000.0,30000.0,,,,
100317315209,60000.0,30000.0,60000.0,60000.0,,
100333816184,60000.0,40000.0,,,,
100342065862,60000.0,40000.0,,,,
100340265566,60000.0,30000.0,60000.0,,,
100334119204,60000.0,30000.0,60000.0,,,60000.0
100336894029,60000.0,40000.0,,,,
100336862495,60000.0,40000.0,,,,
100336901591,60000.0,40000.0,,,,
100337105422,60000.0,40000.0,,,,
100346555338,60000.0,20000.0,60000.0,60000.0,,
100342392408,60000.0,30000.0,60000.0,,,
100342341121,60000.0,30000.0,60000.0,,,
100342432500,60000.0,30000.0,60000.0,,,
100342510094,60000.0,30000.0,60000.0,,,
100342392700,60000.0,30000.0,60000.0,,,
100342340622,60000.0,30000.0,60000.0,,,
100342402023,60000.0,30000.0,60000.0,,,
100342391961,60000.0,30000.0,60000.0,,,
100344721316,60000.0,30000.0,60000.0,,,
100342394870,60000.0,30000.0,60000.0,,,
100342393541,60000.0,30000.0,60000.0,,,
100342412774,60000.0,30000.0,60000.0,,,
100342392465,60000.0,30000.0,60000.0,,,
100342399940,60000.0,30000.0,60000.0,,,
100342396481,60000.0,30000.0,60000.0,,,
100341670441,60000.0,40000.0,,,,
100341818533,60000.0,40000.0,,,,
100341734387,60000.0,40000.0,,,,
100341681395,60000.0,40000.0,,,,
100267790660,70000.0,50000.0,,70000.0,,
100267783735,70000.0,50000.0,,70000.0,,
100346429404,70000.0,50000.0,,70000.0,,
100346344357,70000.0,50000.0,,70000.0,,
100343758843,70000.0,50000.0,,140000.0,,
100343517193,70000.0,50000.0,,140000.0,,
100343469426,70000.0,50000.0,,140000.0,,
100343469373,70000.0,50000.0,,140000.0,,
100343636039,70000.0,50000.0,,140000.0,,
100343758829,70000.0,50000.0,,140000.0,,
100343525256,70000.0,50000.0,,140000.0,,
100343469468,70000.0,50000.0,,140000.0,,
100343439954,70000.0,50000.0,,140000.0,,
100343477153,70000.0,50000.0,,140000.0,,
100343481327,70000.0,50000.0,,140000.0,,
100346264859,70000.0,50000.0,,140000.0,,
100337906575,70000.0,50000.0,,140000.0,,
100343483047,70000.0,50000.0,,140000.0,,
100343775792,70000.0,50000.0,,140000.0,,
100343491110,70000.0,50000.0,,140000.0,,
100343469379,70000.0,50000.0,,140000.0,,
100343489657,70000.0,50000.0,,140000.0,,
100343488353,70000.0,50000.0,,140000.0,,
100343480846,70000.0,50000.0,,140000.0,,
100343478443,70000.0,50000.0,,140000.0,,
100343478187,70000.0,50000.0,,140000.0,,
100346264623,70000.0,50000.0,,140000.0,,
100346266032,70000.0,50000.0,,140000.0,,
100343517224,70000.0,50000.0,,140000.0,,
100346008210,70000.0,50000.0,,140000.0,,
100338802149,50000.0,30000.0,,,,
